id,lat1,lat2,lng1,lng2
2948,26.58365096,26.58819966,106.7166211,106.7211698
2949,26.58365096,26.58819966,106.7211698,106.7257185
2950,26.58365096,26.58819966,106.7257185,106.7302672
2951,26.58365096,26.58819966,106.7302672,106.7348159
2886,26.57910226,26.58365096,106.7166211,106.7211698
2887,26.57910226,26.58365096,106.7211698,106.7257185
2888,26.57910226,26.58365096,106.7257185,106.7302672
2889,26.57910226,26.58365096,106.7302672,106.7348159
2824,26.57455356,26.57910226,106.7166211,106.7211698
2825,26.57455356,26.57910226,106.7211698,106.7257185
2826,26.57455356,26.57910226,106.7257185,106.7302672
2827,26.57455356,26.57910226,106.7302672,106.7348159
2762,26.57000486,26.57455356,106.7166211,106.7211698
2763,26.57000486,26.57455356,106.7211698,106.7257185
2764,26.57000486,26.57455356,106.7257185,106.7302672
2765,26.57000486,26.57455356,106.7302672,106.7348159
