date,Htemperature,Ltemperature,weathertype,winddirection,windforce
2016-09-01,23,17,2,4,2
2016-09-02,27,17,1,1,2
2016-09-03,27,17,0,1,2
2016-09-04,25,17,1,4,2
2016-09-05,25,18,2,14,2
2016-09-06,23,17,3,14,2
2016-09-07,21,18,3,14,2
2016-09-08,23,17,3,14,2
2016-09-09,24,17,4,4,3
2016-09-10,26,17,2,14,2
2016-09-11,26,17,1,1,2
2016-09-12,25,17,1,1,2
2016-09-13,25,17,3,1,1
2016-09-14,25,17,1,1,3
2016-09-15,24,17,2,14,3
2016-09-16,25,16,1,14,2
2016-09-17,25,16,1,1,1
2016-09-18,26,16,1,1,2
2016-09-19,24,15,1,4,2
2016-09-20,21,15,2,14,2
2016-09-21,22,15,2,14,3
2016-09-22,24,15,1,1,1
2016-09-23,24,16,1,13,2
2016-09-24,26,18,1,3,2
2016-09-25,27,20,1,3,2
2016-09-26,28,18,1,13,3
2016-09-27,24,18,2,4,2
2016-09-28,22,18,2,14,2
2016-09-29,23,17,2,1,3
2016-09-30,24,16,2,1,2
